,questions,generated_answers,reference_answers,documents,correctness,groundedness,relevance,retrieval_relevance
81,when did kelly slater go pro?,1990,2008 ASP World Tour,"Kelly Slater turned pro at 18 years old.

Kelly Slater turned pro in 1990.

Kelly Slater turned pro in 1990.

Kelly Slater turned professional in 1990.

Kelly Slater qualified for the Bud Pro Tour.",1,5,5,5
82,what sarah dessen books are movies?,Postcards from the Edge,The Truth About Forever,"The film is the fourth screen adaptation of the book.

Her subsequent films include the superhero film Hulk (2003), the drama House of Sand and Fog (2003), the horror film Dark Water (2005), the psychological drama Little Children (2006), the thriller Blood Diamond (2006), the science fiction film The Day the Earth Stood Still (2008), and the romantic comedy He's Just Not That Into You (2009).

The film is based on the 1954 book of the same name by Dr. Seuss.

The novelization was published by Harcourt Brace simultaneously with the film's release.

Carrie Frances Fisher wrote the screenplay for the film version of Postcards from the Edge.",1,5,5,4
83,what happened to dunkirk during ww2?,evacuation,Battle of Dunkirk,"Dunkirk was the scene of a massive military campaign during World War II.

Dunkirk was a critical turning point in World War II.

Many historians say the battle at Dunkirk cost Germany the Second World War.

Dunkirk tells of British and Allied troops trapped on a beach surrounded by enemy forces in 1940.

The Dunkirk evacuation occurred in May-June 1940.",2,1,1,4
84,where was auschwitz concentration camp located?,Oswiecim,Poland,"The Auschwitz concentration camp was located on the outskirts of Oswiecim in German-occupied Poland.

Auschwitz

Auschwitz concentration camp operated during World War II and the Holocaust.

The Auschwitz concentration camp was originally established in 1940.

Auschwitz was located in southern Poland.",1,1,5,4
85,what rainforest is in south america?,Amazon,Amazon Basin,"The Amazon rainforest covers most of the Amazon basin of South America.

Amazon rainforest spans eight South American countries.

Nature and Culture International has projects and protected areas in rainforest ecosystems in many types of rainforest in South America.

The Amazon rainforest once covered almost half the South American continent.

The Amazon of South America is the world's largest rainforest and top region for biodiversity.",1,1,5,4
86,what is michael kors best known for?,Fashion,Fashion Designer,"The mention marked the launch of a celebrity-driven go-to-market model.

Eva Mozes Kor founded the organization CANDLES in 1984.

Gerard Connelly was a clothing manufacturer.

Some collaborations with various athletes and celebrities can be resold for well above their original retail price.

Brandi Glanville has worked for well-known fashion brands and designers.",1,1,1,1
87,what do portuguese people speak?,Portuguese,Portuguese,"Portuguese language has a long history.

Some people think that Spanish is spoken in Portugal.

Portuguese is spoken in Mozambique, Angola, Guinea-Bissau, Timor-Leste, Equatorial Guinea, Cape Verde, Sao Tome, and Principe.

Portuguese language is conditioned by the existence of the groups that speak it.

Portuguese language lives in history, society, and the world.",1,1,5,2
88,what countries are members of the security council?,"Permanent Members: China, France, Russia, United Kingdom, United States

Non-Permanent Members (as of 2023): Egypt, Mexico, Norway, Poland, South Africa, Spain, Sweden, Thailand, Turkey",Verdict on Kashmir,"Membership of the United Nations Security Council is held by the five permanent members and ten elected, non-permanent members.

There are a total of 15 UN member states on the Security Council.

There is a table of the current permanent members of the United Nations Security Council.

Originally, there were 11 members of the Security Council.

There were 5 permanent and 6 non-permanent members of the Security Council.",1,4,5,3
89,where did holly madison get her breast implants?,I don't know.,United States of America,"The question is about how to get boobs like Holly Madison.

Holly Madison speaks openly about her breast augmentation surgery.

Holly Madison has heard about people getting body parts insured.

Holly Madison insured her breasts to protect herself and others who appear in her Las Vegas production, 'Peepshow'.

Holly Madison has reportedly insured her breasts for $1 million.",1,1,1,3
90,who does kellan lutz play in prom night?,I don't know.,Mark Rider,"Prom is a Disney film.

Aimeé Teegarden deals with love, heartbreak, and pressure from her parents in Prom.

Aimeé Teegarden falls in love with the school bad boy Jesse Richter in Prom.

In 2011, Aimeé Teegarden starred opposite Thomas McDonell in the Disney film Prom.

Prom is an overachieving high school senior bound for Georgetown University after graduation.",1,1,1,1
91,what year did the baltimore ravens win superbowl?,2000,2000 NFL season,"The Ravens made their second Super Bowl appearance in franchise history.

The Ravens made their second Super Bowl appearance in franchise history.

The Ravens previously won Super Bowl XXXV.

The Ravens had previously won Super Bowl XXXV.

The Ravens became the second wild card team to win the Super Bowl in four years.",1,1,5,4
92,what county is san diego ca?,San Diego County,San Diego County,"San Diego County's county seat is San Diego.

San Diego is the seat of San Diego County.

San Diego County has colorful neighborhoods and communities.

San Diego County was one of the original counties of California.

San Diego County is a border county.",5,1,5,3
93,who was king george vi married to?,Youdon'tknow.,Queen Elizabeth The Queen Mother,"George VI was born during the reign of his great-grandmother Queen Victoria.

George VI was born during the reign of his great-grandmother Queen Victoria.

George VI was King of the United Kingdom and the Dominions of the British Commonwealth from 11 December 1936 until his death in 1952.

George VI was King of the United Kingdom and the Dominions of the British Commonwealth from 11 December 1936 until his death in 1952.

Albert Frederick Arthur George took the regnal name George VI.",1,1,1,1
94,what football team is michael vick on?,free agent,Philadelphia Eagles,"Michael Vick was the quarterback for the Atlanta Falcons football team at the time.

Michael Vick is an American college football coach and former player.

Michael Vick played college football at Virginia Tech.

Michael Vick spent the 2016 season as a free agent.

Michael Vick was selected first overall by the Atlanta Falcons in the 2001 NFL draft.",1,3,1,4
95,what is the best tour to egypt?,Egypt Tours,eg,"Egypt vacation packages offer the best tours in Egypt & travel packages.

Egypt tours are full of history, wonders, means of entertainment, adventures, and more.

The speaker wants recommendations on tour companies for Egypt.

Egypt Tours provides Egypt day tours & excursions.

The tour visited many of Egypt's sites.",5,4,1,2
96,what genre of art is the mona lisa?,portrait,Portrait,"The Mona Lisa was originally a type of portrait.

The Mona Lisa is a portrait.

The 'Mona Lisa' is a famous painting.

The Mona Lisa has become an icon of the Renaissance.

The title of the painting is known in English as Mona Lisa.",5,4,5,2
97,what radio station is npr on in nyc?,WNYC,WNYC,"WNYC is listener-supported.

Livestream WNYC FM 93.9 and AM 820.

WNYC broadcasts live from New York City on 93.9 FM and AM 820.

WNYC is the home for independent journalism and courageous conversation on air and online.

WNYC is available online and on the go.",5,1,5,4
98,who is the voice of kitt?,"William Daniels voiced the first KITT. For the second KITT, the voice actors recorded dialog later, and during filming, it was voiced by a script assistant.",Val Kilmer,"Voice actors recorded KITT's dialog later.

During filming, KITT was voiced by a script assistant.

The first KITT was voiced by William Daniels.

KITT is the common name of two fictional characters from the action franchise Knight Rider.

The second KITT appeared in the new series itself.",1,3,3,4
99,when does daylight saving end in new zealand 2012?,Sunday 15 April 2012,nz,"Sunday 1 April 2012 is the start date for daylight savings time in New Zealand.

NZ End DLS Date is the end date for daylight savings time.

Daylight Savings Time New Zealand New Zealand has daylight.

NZ Start DLS Year Start DLS Date is the end date for daylight savings time.

Sunday 2 April 2017 is the start date for daylight savings time in New Zealand.",1,1,5,1
